frame: 0
47.3898 -42.2373 -118.05
95.0156 77.9527 -40.0395
76.7704 -118.49 -13.091
142.203 -70.7393 -108.235
-117.764 126.269 0.255692
102.931 -5.06231 -85.8574
-86.7043 39.4381 2.65415
-32.3176 28.9894 40.4216
109.703 -79.5311 -32.8344
45.1383 -70.9241 -104.293
133.983 -101.218 10.2182
-54.656 65.7605 -96.3617
100.673 46.961 -19.6654
-92.7124 40.0536 123.135
85.9359 -90.8227 91.4625
-103.55 -83.9524 57.3173
55.6259 -19.8436 25.4288
-1.57044 -61.6209 -90.6874
-116.857 125.35 -46.5823
110.289 -105.237 -39.0765
78.1989 -10.9745 150.15
-100.168 103.815 -57.6598
99.6367 34.417 49.6767
-61.7239 54.9102 -153.213
-149.184 -3.35588 80.1734
12.4881 71.2491 -118.039
111.566 138.325 11.227
67.732 41.3002 -131.302
-12.193 67.3847 -144.565
58.0095 -109.039 148.897
-61.7834 54.0068 -18.6265
43.8911 132.227 16.5898
-152.636 -20.7964 -86.1387
25.134 31.7126 -129.538
31.529 -93.7731 -180.946
-71.9678 -135.62 -98.6857
-6.35708 -26.2013 152.73
-67.9609 7.79341 19.4136
142.829 135.619 87.5801
-38.1736 78.4538 -152.418
119.221 110.879 -74.1183
61.9079 -30.1358 -173.455
58.0129 -73.2561 -57.3728
-48.6196 -116.29 -50.1913
29.6091 159.601 -37.62
-3.87866 -25.5638 89.2901
-131.957 2.77938 -137.809
-58.491 114.522 -145.079
0.243137 -6.60005 103.645
103.605 43.7431 -100.247
92.7842 22.1224 109.11
-87.5579 63.3249 -96.5461
70.5572 79.7462 8.48327
117.22 56.0491 23.2907
-11.2554 130.866 144.353
-69.8932 -26.262 -16.4815
138.738 -53.9294 -4.02227
8.61215 -65.7919 138.529
26.4978 67.3587 36.5043
106.527 41.9101 -37.778
131.273 -95.5448 36.9092
-79.568 -97.2342 -10.3828
118.954 -73.2519 66.3004
113.856 -106.927 82.4465
-41.7089 -106.491 -144.059
109.177 -43.7716 51.2802
21.0489 4.33944 2.48976
136.008 940.366 84.011
-142.008 -97.7134 -107.072
-120.086 18.746 76.7897
12.8298 -101.717 860.838
-131.937 44.7947 -19.4663
-125.82 56.8282 131.685
12.7779 -97.5798 -104.912
63.5578 81.4454 -11.1225
102.419 55.0835 -120.719
-34.9253 -51.5931 114.025
26.1171 -63.1833 -125.864
-136.392 30.4727 -47.7052
-78.6342 -111.398 110.065
114.078 -9.68993 -29.7043
-91.4718 -116.651 -117.014
44.9375 96.6988 -3.0561
-33.2284 31.7821 132.731
-86.4909 51.7322 -110.032
127.635 33.8955 63.1164
-52.5778 -91.4605 57.0058
71.3793 122.549 70.3345
5.39631 -87.8525 -77.3524
27.4472 -0.976888 -37.9998
122.152 -103.932 -64.1282
-91.5045 -1.04243 17.2508
88.2695 -28.8854 -90.713
51.2402 74.7412 28.5891
-102.239 -82.5951 -3.98035
-108.874 -78.1459 116.443
20.5451 69.6961 187.037
-54.0541 53.8899 127.365
-139.894 91.6559 45.3469
-39.4736 -88.9799 -43.306
44.471 20.8437 85.6973
-115.761 -28.172 -109.799
-13.2678 152.257 -81.0552
81.2144 56.7078 -96.2749
-35.6422 65.0663 93.4533
69.3009 -71.7538 -73.331
71.6576 -29.4042 -115.528
-20.8638 28.9113 -87.2716
23.0399 47.5021 -119.846
-18.4578 -3.83633 -101.616
67.1605 61.5128 142.186
43.7294 -67.729 -76.3594
8.71941 127.962 -55.1789
85.5811 146.552 -24.9124
47.4287 69.723 -66.1944
-113.392 -22.8618 -150.518
120.359 -132.371 -84.6961
-33.9714 -33.7563 -118.377
-157.444 -90.1825 -17.7728
-162.268 85.4413 12.9575
-111.814 51.4601 98.7224
78.1957 -79.9126 -125.773
-14.8015 -86.3418 10.9682
11.6547 -61.7299 114.733
84.7323 -29.485 60.5287
-55.9088 62.5093 -34.926
-150.804 -52.1656 14.2916
81.9665 -28.1888 69.6847
-151.532 35.6088 -113.598
78.4681 49.7119 -105.813
-74.4756 -41.9415 -146.476
-115.069 -48.2071 -136.338
47.9468 -10.8112 69.4191
46.1305 -40.6309 70.3131
-69.6398 -92.6312 116.833
-54.8247 73.0936 35.1742
-115.713 33.1553 8.74051
118.553 -6.11749 78.0624
70.1712 8.38058 -20.4319
84.9312 -164.767 -91.2098
105.355 -135.994 -87.4452
-130.331 64.7457 68.5212
-24.4226 -83.9971 60.1285
-113.634 -87.5511 -95.373
-55.2556 -67.4215 -14.2355
-128.627 -49.667 -132.263
3.19333 -100.071 12.8298
12.5542 -135.644 32.1086
-82.7608 -85.2542 37.8539
-108.449 -60.4051 18.6549
-27.5755 65.5295 -17.1286
-85.4748 29.9776 -144.799
86.3128 -111.064 -135.959
-8.46056 153.371 7.36351
-95.1232 40.1248 37.0616
79.8836 87.5009 7.77778
-80.0965 -45.957 28.0276
85.3789 -128.281 20.9558
-23.8482 -37.5628 -120.754
106.634 97.1051 -19.1824
-1.76678 -31.8029 35.6811
78.0497 54.5876 102.933
33.6141 141.25 55.2589
-37.8874 -136.972 104.185
63.9931 -51.6467 61.3281
-61.1171 -107.192 -20.6078
28.4788 -25.9067 -13.0005
-105.331 -74.257 -34.7082
-38.7786 26.9057 25.1923
-120.101 -41.6911 50.7374
4.98779 -132.86 36.7792
-111.787 83.7726 69.9157
25.3277 -149.99 40.0689
16.0807 -110.367 48.4559
140.921 -11.439 -20.9861
-5.41053 -73.7281 20.0619
33.6325 84.4678 -92.7254
-81.4171 -35.6924 -45.5432
-14.442 -18.3318 -49.5493
75.8771 -87.9374 49.641
-157.526 -42.996 -75.1955
-35.1862 -151.28 -2.07361
46.895 72.1086 -38.6135
-111.488 172.288 67.5877
-60.2456 -97.2221 -117.703
89.0902 50.3907 22.1646
82.9139 143.654 -31.8305
148.025 19.0238 4.33227
22.4477 20.8703 -44.0302
2.7402 102.767 -99.8643
49.203 20.6297 94.4683
31.8032 50.1425 72.7954
107.744 -38.7025 63.2452
28.3717 70.6226 129.583
-58.3321 -112.253 51.6614
79.1086 -11.0193 -25.9616
124.402 -100.862 -29.4452
52.5722 -121.765 110.764
-135.569 87.3706 -111.88
-35.196 -119.057 -115.38
-11.3943 6.62461 18.6558
71.3753 95.6399 96.995
100.597 -116.36 20.372
-13.6054 133.818 100.108
-66.0485 -73.9152 9.29268
